D,H,A,E,C,I,P,B,N,DP,Fluorescence,total_num_valence_electrons,total_hallkieralpha,total_num_sat_rings,total_kappa2,total_kappa3,total_bertzct,total_balabanj,total_rot_bonds,total_hbd,total_hba,total_num_heteroatoms,total_num_aromatic_heterocycles,total_num_aliphatic_rings,total_logp,total_chi0v,total_arom_rings,total_num_rings,total_kappa1,total_n_carbon,total_mw,total_n_oxygen,total_chi1v,charge,total_heavy_atom_count,total_molar_ref,total_tpsa,total_n_nitrogen,predicted_docking_score,Consensus_Class,score,fluorescence
15,0,0,0,0,0,7.5,0,0,22.5,5.108632646,1410,-25.725,0,118.4519925,107.8220175,4006.5734925,64.1390475,97.5,0,67.5,67.5,0,0,15.189,155.5119675,7.5,7.5,214.888245,187.5,3589.395,52.5,78.797505,15,255,998.2725,749.475,15,-8.664374,2,0,High
20,0,0,0,0,0,7.5,0,0,27.5,5.108592008,1695,-29.875,0,143.4261975,134.3693675,4610.4460625,80.1133725,117.5,0,82.5,82.5,0,0,15.7655,187.8238725,7.5,7.5,260.738245,222.5,4305.325,62.5,94.320015,20,305,1198.2975,910.475,20,-8.380143,2,0,High
21.5,0,2.5,0,0,2.5,2.5,0,0,29,5.014957746,1610.5,-26.22,0,136.015384,144.2591775,3736.796931,90.28822,108.5,2.5,79.5,82,0,0,9.5387,180.1052765,2.5,2.5,253.984415,203,4057.159,58,87.8564155,21.5,285,1131.3035,954.6,24,-8.352909,2,0,High
15.5,0,2.5,0,0,2.5,10,0,0,30.5,4.992325809,1823.5,-34.515,0,149.5757155,140.582325,5207.1056295,87.3351025,122,2.5,84,86.5,0,0,22.3064,199.907243,10,10,276.30266,243.5,4639.648,68.5,101.4593785,15.5,330,1289.471,1027.875,18,-8.311476,2,0,High
10,0,10,0,0,2.5,10,0,0,32.5,4.980451649,1720,-35.875,0,133.515535,135.45524,4977.196325,93.7993825,107.5,10,75,85,0,0,19.105,185.1395675,10,10,257.44266,227.5,4385.2175,65,93.30754,10,312.5,1214.879,1173.95,20,-8.217871,2,0,High
19.5,0,2.5,0,0,2.5,10,0,0,34.5,4.807245378,2051.5,-37.835,0,169.5550795,161.820205,5690.2036855,100.1145625,138,2.5,96,98.5,0,0,22.7676,225.756767,10,10,312.98266,271.5,5212.392,76.5,113.8773865,19.5,370,1449.491,1156.675,22,-7.9362264,2,0,High
13.5,0,2.5,0,0,2.5,10,0,0,28.5,4.7027761,1709.5,-32.855,0,139.5860335,129.963385,4965.5566015,80.9453725,114,2.5,78,80.5,0,0,22.0758,186.982481,10,10,257.96266,229.5,4353.276,64.5,95.2503745,13.5,310,1209.461,963.475,16,-8.537536,2,0,High
13.5,0,10,0,0,2.5,10,0,0,36,4.587555543,1919.5,-38.78,0,150.9974785,154.038385,5399.907124,104.98141,121.5,10,85.5,95.5,0,0,19.50855,207.757901,10,10,289.53766,252,4886.3685,72,104.173297,13.5,347.5,1354.8965,1286.65,23.5,-7.798495,2,0,High
2.5,10,16.5,2.5,0,0,0,0,0,31.5,4.567210436,1164.5,-25.385,0,89.417879,107.4451425,2324.6265045,99.912995,61.5,26.5,59,75.5,0,0,-6.44195,117.2558365,0,0,179.615,129.5,2942.221,56.5,54.7448195,2.5,205,769.4636,1322.535,19,-8.08167,2,0,High
10,2.5,10,10,0,0,0,0,0,32.5,4.441565813,1365,-26.175,0,110.0132475,123.89217,2767.559,103.504275,77.5,12.5,67.5,77.5,0,0,4.35475,146.5609225,0,0,213.825,162.5,3434.11,57.5,69.4769775,10,240,932.8685,1132.225,20,-7.754241,2,0,High
