A,B,C,D,E,H,I,P,N,DP,total_hba,total_num_aromatic_heterocycles,total_rot_bonds,total_n_nitrogen,total_num_rings,total_logp,total_tpsa,total_heavy_atom_count,total_hallkieralpha,total_kappa3,total_kappa2,total_balabanj,total_chi1v,total_n_carbon,total_n_oxygen,total_chi0v,total_num_aliphatic_rings,total_arom_rings,total_mw,total_bertzct,total_hbd,charge,total_num_valence_electrons,total_molar_ref,total_num_heteroatoms,total_num_sat_rings,total_kappa1,predicted_docking_score,Consensus_Class,score,fluorescence
0.0,5.0,2.0,8.0,0.0,0.0,6.0,0.0,0.0,21.0,54.0,0.0,73.0,8.0,5.0,16.4422,679.76,214.0,-21.87,95.485557,95.493087,63.921626,66.17851,160.0,46.0,131.148902,0.0,5.0,3011.69,3220.8868170000005,0.0,6.0,1190.0,829.739,54.0,0.0,182.609385,-8.71284,2,0,High
0.0,0.0,2.0,8.0,5.0,0.0,6.0,0.0,0.0,21.0,54.0,0.0,68.0,8.0,0.0,10.5407,679.76,189.0,-17.97,97.729017,90.816027,67.617716,58.39286,135.0,46.0,119.215142,0.0,0.0,2701.335,2279.499092,0.0,6.0,1080.0,731.7139999999999,54.0,0.0,171.03,-8.372367,2,0,High
0.0,0.0,2.0,8.0,5.0,0.0,0.0,6.0,0.0,21.0,60.0,0.0,80.0,8.0,6.0,13.0787,735.1400000000001,219.0,-23.85,89.823591,100.889061,60.955568,66.436064,159.0,52.0,130.763678,0.0,6.0,3085.5930000000003,3402.56105,0.0,6.0,1212.0,834.308,60.0,0.0,183.640596,-8.720289,2,0,High
0.0,7.0,2.0,8.0,0.0,5.0,0.0,0.0,0.0,22.0,61.0,0.0,76.0,8.0,7.0,10.5837,807.21,224.0,-24.42,87.013675,101.077696,64.711134,66.804277,163.0,53.0,131.537965,0.0,7.0,3147.62,3555.210779,5.0,6.0,1232.0,847.854,61.0,0.0,186.251139,-8.840594,2,0,High
0.0,4.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,21.0,54.0,0.0,66.0,8.0,4.0,11.4453,679.76,197.0,-21.09,83.658195,90.218841,64.063238,59.48632800000001,143.0,46.0,119.298044,0.0,4.0,2781.295,2856.602644,0.0,6.0,1096.0,755.1500000000001,54.0,0.0,168.293508,-8.447251,2,0,High
0.0,5.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,22.0,56.0,0.0,69.0,8.0,5.0,13.3611,706.0600000000001,209.0,-22.66,86.238394,94.556192,66.49692,63.14441200000001,153.0,48.0,125.992856,0.0,5.0,2943.483,3121.0295290000004,0.0,6.0,1158.0,801.585,56.0,0.0,176.81938499999998,-8.607079,2,0,High
0.0,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,22.0,56.0,0.0,70.0,8.0,6.0,14.5414,706.06,214.0,-23.44,85.78970199999999,95.491604,65.757702,64.701542,158.0,48.0,128.37960800000002,0.0,6.0,3005.554,3309.3070740000003,0.0,6.0,1180.0,821.19,56.0,0.0,179.13526199999998,-8.703588,2,0,High
0.0,0.0,2.0,8.0,0.0,0.0,5.0,6.0,0.0,21.0,60.0,0.0,85.0,8.0,6.0,16.2592,735.1400000000001,229.0,-23.85,100.053636,104.504756,61.45357299999999,70.715274,169.0,52.0,138.65043300000002,0.0,6.0,3225.8630000000003,3549.23324,0.0,6.0,1272.0,880.128,60.0,0.0,193.640596,-8.739942,2,0,High
0.0,0.0,2.0,8.0,0.0,3.0,0.0,8.0,0.0,21.0,65.0,0.0,89.0,8.0,8.0,12.1141,814.2900000000001,236.0,-25.93,92.284066,108.483425,58.749644,71.15617900000001,171.0,57.0,138.230855,0.0,8.0,3317.784,3870.159608,3.0,6.0,1298.0,891.0694000000001,65.0,0.0,194.724128,-8.839426,2,0,High
0.0,4.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,22.0,56.0,0.0,68.0,8.0,4.0,12.1808,706.0600000000001,204.0,-21.88,86.687086,93.62078,67.236138,61.587282,148.0,48.0,123.60610400000002,0.0,4.0,2881.4120000000003,2932.751984,0.0,6.0,1136.0,781.98,56.0,0.0,174.503508,-8.444449,2,0,High
