A3413,A3407,A3400,M0562,D5915,M0082,D5927,A1235,D5795,M2901,M3342,A1405,D1531,E0652,H1770,M0085,A0141,M0081,A0142,M0280,A1389,M0326,M0591,A0144,D4129,M0083,GluMA,GalAM,DP,total_rot_bonds,total_chi0v,total_num_rings,total_mw,total_kappa3,total_kappa1,total_n_carbon,total_arom_rings,total_num_valence_electrons,total_hbd,total_chi1v,total_tpsa,total_molar_ref,charge,total_heavy_atom_count,total_kappa2,total_n_oxygen,total_num_aromatic_heterocycles,total_num_sat_rings,total_num_aliphatic_rings,total_logp,total_balabanj,total_num_heteroatoms,total_hba,total_n_nitrogen,total_bertzct,total_hallkieralpha,predicted_docking_score,Consensus_Class,score,fluorescence
6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,114.0,179.45827,6.0,4060.074,122.45302,262.01404,198.0,0.0,1600.0,20.0,95.58546,861.9799999999999,1088.1324,20.0,274.0,155.506294,50.0,0.0,6.0,6.0,-0.8634000000000004,45.655812,76.0,50.0,20.0,3512.406622,-16.68,-8.759823,0,5.0,Low
5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,73.0,127.479314,0.0,3019.744,95.162125,198.880895,135.0,0.0,1178.0,18.0,61.200318,956.16,767.9054000000001,6.0,202.0,105.96197200000002,52.0,0.0,0.0,0.0,-6.478300000000001,56.984782,67.0,52.0,10.0,2495.3255820000004,-16.65,-8.730393,0,5.0,Low
5.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,69.0,124.55415,0.0,2895.704,100.603905,191.040895,131.0,0.0,1130.0,14.0,59.30348599999999,867.3999999999999,739.6538,6.0,194.0,98.957024,44.0,0.0,0.0,0.0,-14.572300000000002,56.240482,63.0,44.0,14.0,2387.892346,-16.49,-8.697916,0,5.0,Low
5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,69.0,129.50085,4.0,3063.852,93.748033,195.185539,139.0,0.0,1194.0,14.0,64.441314,904.32,774.4738,6.0,206.0,102.435564,48.0,0.0,4.0,4.0,-15.4899,50.963346,67.0,48.0,14.0,2616.8587540000003,-16.65,-8.716025,0,5.0,Low
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,90.0,138.503468,2.0,3129.004,109.982508,200.44468,162.0,0.0,1252.0,6.0,73.830634,670.1,859.023,6.0,216.0,123.99464,46.0,0.0,2.0,2.0,21.1122,60.009184000000005,54.0,46.0,6.0,2505.01404,-17.12,-8.530603,1,1.0,Medium
3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,55.0,137.716876,0.0,3079.196,104.615731,201.128537,151.0,0.0,1222.0,12.0,65.300784,796.22,824.1042,6.0,210.0,91.50534,50.0,0.0,0.0,0.0,13.9581,67.936136,59.0,50.0,6.0,2697.649498,-16.990000000000002,-8.576056,1,4.0,Medium
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,74.0,133.10757999999998,2.0,3160.556,88.430188,199.80468,146.0,0.0,1252.0,22.0,66.08265,993.78,807.7398000000001,6.0,216.0,103.84376,62.0,0.0,2.0,2.0,-1.5710000000000002,65.26592,70.0,62.0,6.0,2831.127752,-17.759999999999998,-8.770896,0,6.0,Low
5.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,77.0,137.17295,0.0,3120.136,100.474293,207.040895,147.0,0.0,1226.0,14.0,66.850494,867.3999999999999,813.3498,6.0,210.0,105.799828,44.0,0.0,0.0,0.0,-8.3435,58.31907,63.0,44.0,14.0,2633.8561900000004,-16.49,-8.745624,0,5.0,Low
4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,68.0,132.05078400000002,6.0,3125.492,91.03269,194.261682,144.0,0.0,1224.0,14.0,67.14909,899.5799999999999,789.9414000000002,6.0,212.0,100.554024,50.0,0.0,6.0,6.0,-16.858,51.71657999999999,68.0,50.0,14.0,2769.303868,-17.02,-8.736844,0,5.0,Low
2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,90.0,133.721724,2.0,3160.556,109.331212,199.80468,146.0,0.0,1252.0,6.0,65.66769,817.78,810.511,6.0,216.0,123.367024,62.0,0.0,2.0,2.0,2.653,60.009184000000005,70.0,62.0,6.0,2527.203192,-17.759999999999998,-8.633901,1,3.0,Medium
