A3413,A3407,A3400,M0562,D5915,M0082,D5927,A1235,D5795,M2901,M3342,A1405,D1531,E0652,H1770,M0085,A0141,M0081,A0142,M0280,A1389,M0326,M0591,A0144,D4129,M0083,GluMA,GalAM,DP,total_hbd,total_balabanj,total_n_oxygen,total_n_nitrogen,total_logp,total_num_sat_rings,total_n_carbon,total_chi1v,total_tpsa,total_num_valence_electrons,total_bertzct,total_num_aromatic_heterocycles,total_molar_ref,total_num_aliphatic_rings,total_num_rings,total_kappa3,total_mw,total_arom_rings,total_kappa1,charge,total_heavy_atom_count,total_chi0v,total_hallkieralpha,total_hba,total_num_heteroatoms,total_rot_bonds,total_kappa2,predicted_docking_score,Consensus_Class,score,fluorescence
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,22.0,14.0,63.167316,50.0,10.0,27.144,6.0,220.0,103.479354,808.06,1624.0,3541.182372,0.0,1115.7682,6.0,6.0,157.707118,3981.608,0.0,250.436966,2.0,280.0,178.871896,-18.02,50.0,60.0,136.0,163.187952,-8.631055,1,4.0,Medium
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,22.0,12.0,42.745758,50.0,12.0,27.6778,6.0,222.0,105.45176,854.12,1696.0,3616.686778,0.0,1171.9988,6.0,6.0,168.49434200000002,4266.522,0.0,278.33404,10.0,290.0,189.499898,-16.36,50.0,68.0,140.0,183.370662,-8.625264,0,7.0,High
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,21.0,9.0,42.921566,45.0,9.0,28.46,3.0,198.0,92.846643,814.4699999999999,1512.0,3100.275634,0.0,1045.9397,3.0,3.0,163.23763100000002,3807.858,0.0,253.135557,5.0,258.0,168.67833000000002,-15.33,45.0,60.0,130.0,169.087502,-8.632966,0,6.0,High
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,18.0,45.651118,56.0,12.0,-10.9816,6.0,144.0,66.554702,1003.16,1264.0,2934.4551360000005,0.0,815.5596,6.0,6.0,92.12499,3266.394,0.0,206.09404,8.0,218.0,135.978968,-16.6,56.0,74.0,64.0,104.743342,-8.731491,1,4.0,Medium
5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,55.68615799999999,44.0,10.0,-9.9169,0.0,121.0,53.912878000000006,877.3000000000001,1046.0,2145.473522,0.0,677.621,0.0,0.0,92.849241,2689.326,0.0,177.200895,0.0,180.0,113.294638,-16.33,44.0,59.0,63.0,92.43993,-8.618303,1,3.0,Medium
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,21.0,7.0,49.885472,44.0,5.0,29.6688,0.0,180.0,82.674459,813.9399999999999,1372.0,2693.891026,0.0,944.8221,0.0,0.0,159.842632,3442.852,0.0,232.110895,-1.0,234.0,151.757155,-15.420000000000002,44.0,54.0,123.0,156.404671,-8.593758,1,2.0,Medium
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,58.676273,50.0,5.0,13.9791,0.0,153.0,67.865085,907.33,1244.0,2717.540921,0.0,831.5273,0.0,0.0,101.110756,3159.109,0.0,210.160895,0.0,213.0,137.48222900000002,-16.369999999999997,50.0,60.0,80.0,110.626381,-8.607608,1,4.0,Medium
5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,52.455269,43.0,10.0,-13.6305,0.0,111.0,49.514415,871.23,982.0,2008.5063400000004,0.0,629.1178,0.0,0.0,88.326965,2535.073,0.0,166.950895,0.0,169.0,105.389821,-15.58,43.0,58.0,58.0,86.466266,-8.57743,1,3.0,Medium
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,19.0,45.840362,57.0,12.0,-9.8059,6.0,147.0,68.066235,1009.56,1288.0,2996.0131130000004,0.0,833.2144000000001,6.0,6.0,92.64287,3325.482,0.0,210.05404,9.0,222.0,138.763045,-16.64,57.0,75.0,66.0,107.31108199999998,-8.74176,1,2.0,Medium
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,51.303752,52.0,10.0,-17.3786,6.0,126.0,57.11796,949.94,1104.0,2550.217586,0.0,693.7962,6.0,6.0,85.28537399999999,2838.896,0.0,174.341682,0.0,192.0,116.30523,-16.939999999999998,52.0,66.0,52.0,84.359028,-8.694831,1,4.0,Medium
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,22.0,20.0,60.957734,72.0,4.0,18.3978,8.0,226.0,107.707272,1113.7800000000002,1752.0,4041.413842,0.0,1145.8156,8.0,8.0,156.923748,4319.594,0.0,267.855504,-2.0,302.0,185.88482,-18.66,72.0,76.0,142.0,169.12892799999997,-8.60876,1,2.0,Medium
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,49.061858,50.0,8.0,16.520400000000002,0.0,162.0,72.951,948.76,1340.0,2924.549384,0.0,908.2436,0.0,0.0,108.2629,3445.8279999999995,0.0,234.029432,6.0,228.0,150.288374,-15.62,50.0,66.0,86.0,125.796412,-8.710275,0,6.0,High
6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,51.615608,46.0,10.0,-16.5242,0.0,106.0,46.077592,940.96,976.0,2026.67219,0.0,617.749,0.0,0.0,94.357928,2547.38,0.0,168.117074,0.0,168.0,104.058284,-16.12,46.0,62.0,50.0,82.842374,-8.53796,1,4.0,Medium
